ID,Feature Area,User Story,Expected Behavior,Code Reference,Initial Status,Initial Test Result,Errors Found,Fix Status,Retest Result
US-001,Authentication,"As a private journal owner, I want protected pages to redirect me to login when I am unauthenticated so my journal stays private.","Unauthenticated page requests redirect to /login with next set to the originally requested path unless public read is enabled.","middleware.ts; app/login/page.tsx; app/api/login/route.ts",Implemented,Pass,"Not browser-tested with real cookies because no JOURNAL_ACCESS_TOKEN/Supabase test environment was provided.",Not needed,Pass via static/code review and production build
US-002,Login,"As a user, I want to enter my access token so I can open the app.","Submitting a valid token to /api/login sets an httpOnly cookie for one year and routes to the next path; invalid tokens show an error and keep me on the login page.","app/login/page.tsx; app/api/login/route.ts; lib/auth.ts",Implemented,Pass,"Not integration-tested against a real JOURNAL_ACCESS_TOKEN in this environment.",Not needed,Pass via static/code review and production build
US-003,Logout / Change token,"As a user, I want to change token/logout so another token can be entered.","Clicking Change token POSTs /api/logout, clears the auth cookie, and sends the browser to /login.","app/page.tsx; app/api/logout/route.ts",Implemented,Pass,"Not browser-tested with real cookies because no auth env was provided.",Not needed,Pass via static/code review and production build
US-004,Daily entry quick capture,"As a journaler, I want to type today's note and save it with Enter or Ctrl/Cmd+S so today's journal entry is recorded quickly.","A non-empty trimmed draft upserts today's UTC entry, reloads the full entry list, recomputes streak state, focuses/selects the input, and unlocks the daily quote.","app/page.tsx; app/api/entries/route.ts; lib/client.ts",Implemented,Pass,"Save button looked actionable for empty drafts even though empty saves are ignored, which is a UX mismatch.",Fixed,Pass via type/build checks
US-005,Existing entry editing,"As a journaler, I want to edit previous entries inline so I can correct a day without opening a separate screen.","Blurring an edited row saves trimmed non-empty changed text; Enter commits by blurring; failed saves revert visible text.","components/EntryRow.tsx; app/api/entries/route.ts",Implemented,Pass,"No code-level errors found.",Not needed,Pass via static/code review and production build
US-006,Entry deletion,"As a journaler, I want to delete an entry after confirmation so I can remove mistakes.","Clicking Delete prompts for confirmation, calls DELETE /api/entries/:day, and reloads the full entry list.","components/EntryRow.tsx; app/page.tsx; app/api/entries/[day]/route.ts",Implemented,Pass,"No code-level errors found.",Not needed,Pass via static/code review and production build
US-007,Entry search,"As a journaler, I want to search previous entries so I can find memories by text.","Typing in search debounces a GET /api/entries?q=... request; results are newest first and case-insensitive via ilike.","app/page.tsx; app/api/entries/route.ts",Implemented,Pass,"The / keyboard shortcut intercepted slash while focus was already in editable fields such as search, making slash input awkward.",Fixed,Pass via type/build checks
US-008,Keyboard shortcuts,"As a keyboard-oriented user, I want shortcuts for save and search so common actions are fast.","Ctrl/Cmd+S saves the draft; / focuses search only when focus is not already in an input, textarea, select, button, or contenteditable element.","app/page.tsx",Implemented,Pass,"Shortcut handling was too broad for / before the fix.",Fixed,Pass via type/build checks
US-009,JSON export,"As a user, I want to export all entries to JSON so I can back up my journal.","Clicking Export downloads verum-export.json from /api/entries/export, ordered oldest first and formatted as JSON.","app/page.tsx; app/api/entries/export/route.ts",Implemented,Pass,"Not browser-download-tested because no running authenticated Supabase environment was provided.",Not needed,Pass via static/code review and production build
US-010,Streak banner,"As a user, I want to see my current streak so I know whether I have logged today.","The app computes current streak, best streak support, logged-today state, and renders current days plus Logged/Not logged today.","components/StreakBanner.tsx; lib/streak.ts; app/api/streak/route.ts; app/page.tsx",Implemented,Pass,"No code-level errors found. API endpoint exists but UI computes from entries instead of fetching /api/streak.",Not needed,Pass via static/code review and production build
US-011,Daily quote unlock,"As a user, I want a quote after logging today so journaling is rewarded by a daily prompt.","QuoteBox appears only after today's entry exists or is saved; it fetches /api/quotes/daily and handles no-quote/loading states.","app/page.tsx; components/QuoteBox.tsx; app/api/quotes/daily/route.ts",Implemented,Pass,"Not integration-tested because the Supabase RPC verum_pick_daily_quote is not available locally.",Not needed,Pass via static/code review and production build
